Name,SMILES,Planarity,RDKit Planarity,RDKit MMFFOptimize Planarity,HOMO-LUMO Energy Gap /eV,Linker Type,Functional Group
b_v2_single_b_9_A_amide_A,CNC(=O)c1cc(C2:cc3cc(OC)c(OC)cc3n:2C)c2nsnc2c1,0.6529431692315042,0.7071094473579597,0.5275638237504364,2.5469856406800004,single,Amide
b_v2_single_b_9_A_amide_C,CNC(=O)c1ccc2nsnc2c1C1:cc2cc(OC)c(OC)cc2n:1C,0.5326071484160368,0.5175135555928222,0.47212363959404174,2.8084870510105,single,Amide
b_v2_single_b_9_A_amine_A,CNc1ccc2nsnc2c1C1:cc2cc(OC)c(OC)cc2n:1C,0.5986317944549232,0.6348075948039446,0.3298036401377113,2.801139977047,single,Amine
b_v2_single_b_9_A_methoxy_B,COc1cc2c:C(c3c(OC)ccc4nsnc34):n(C)c2cc1OC,0.6994059733942651,0.6720630995844532,0.5407322404994198,2.580183530441,single,Methoxy
b_v2_single_b_9_A_methoxy_C,COc1cc(C2:cc3cc(OC)c(OC)cc3n:2C)c2nsnc2c1,0.6462189163796704,0.6783297648915223,0.4941574251425022,2.8389638022665005,single,Methoxy
b_v2_single_b_9_A_F_A,COc1cc2c:C(c3c(F)ccc4nsnc34):n(C)c2cc1OC,0.6693133644580161,0.6616815949967487,0.5249506926175729,2.4090239184765,single,F
b_v2_single_b_9_A_Cl_C,COc1cc2c:C(c3c(Cl)ccc4nsnc34):n(C)c2cc1OC,0.5520773105470224,0.599676477000378,0.39762743388588256,2.6242659742220003,single,Cl
b_v2_single_b_9_A_methyl_B,COc1cc2c:C(c3cc(C)cc4nsnc34):n(C)c2cc1OC,0.6553645317300337,0.7071416007699515,0.5068399519979242,2.596510361471,single,Methyl
b_v2_single_b_9_A_methyl_C,COc1cc2c:C(c3c(C)ccc4nsnc34):n(C)c2cc1OC,0.5535340675550551,0.5797523153185233,0.36704682225265256,2.7061722432224995,single,Methyl
b_v2_single_b_9_A_cyanide_B,COc1cc2c:C(c3c(C#N)ccc4nsnc34):n(C)c2cc1OC,0.6530585765759739,0.6480164455593255,0.43878176616756503,2.499093602992,single,Cyano
b_v2_single_b_9_A_sulf_acid_A,COc1cc2c:C(c3c(S(=O)(=O)O)ccc4nsnc34):n(C)c2cc1OC,0.5806020355907836,0.4940557613211968,0.31069148722967843,2.625898657325,single,Sulfonic acid
b_v2_single_b_9_A_Br_A,COc1cc2c:C(c3c(Br)ccc4nsnc34):n(C)c2cc1OC,0.5939951861218165,0.6811145872567812,0.3561900418155558,2.3633087915925004,single,Br
b_v2_single_b_9_A_Br_B,COc1cc2c:C(c3cc(Br)cc4nsnc34):n(C)c2cc1OC,0.6753071440099938,0.6709889789281734,0.5127802961893924,2.443038149789,single,Br
b_v2_single_b_9_A_trifluro_A,COc1cc2c:C(c3cc(C(F)(F)F)cc4nsnc34):n(C)c2cc1OC,0.6505502326511432,0.7071231831504591,0.5103778311411261,2.6245380880725,single,Trifluoro
b_v2_single_b_9_A_trifluro_B,COc1cc2c:C(c3c(C(F)(F)F)ccc4nsnc34):n(C)c2cc1OC,0.5533085946762131,0.537031429728302,0.3559331286601709,2.487664821271,single,Trifluoro
b_v2_single_b_14_A_carbonyl_A,COc1cc2c:C(c3cccc4cc(C=O)ccc34):n(C)c2cc1OC,0.4878637334693282,0.5186864229349926,0.1431833246172328,2.9916196723969994,single,Carbonyl
b_v2_single_b_14_A_carbonyl_D,COc1cc2c:C(c3ccc4ccc(C=O)cc4c3):n(C)c2cc1OC,0.7528936719903282,0.7070839840885665,0.07842089247861388,3.2683594583555005,single,Carbonyl
b_v2_single_b_14_A_carbonyl_E,COc1cc2c:C(c3cc(C=O)cc4ccccc34):n(C)c2cc1OC,0.4786868484762195,0.6485777289805849,0.211297638646459,3.1388332655175004,single,Carbonyl
b_v2_single_b_14_A_carbonyl_F,COc1cc2c:C(c3cccc4ccc(C=O)cc34):n(C)c2cc1OC,0.4977416768055457,0.6477199407410024,0.1214307239094937,3.2841420616845007,single,Carbonyl
b_v2_single_b_14_A_carbonyl_G,COc1cc2c:C(c3ccc4cc(C=O)ccc4c3):n(C)c2cc1OC,0.7940898795857031,0.706988839060758,0.43069190089811193,3.1774734322885,single,Carbonyl
b_v2_single_b_14_A_cyanide_A,COc1cc2c:C(c3cc(C#N)cc4ccccc34):n(C)c2cc1OC,0.4711463816282514,0.6521418586663436,0.20188655224601298,3.5121734684035,single,Cyano
b_v2_single_b_14_A_cyanide_B,COc1cc2c:C(c3ccc4cc(C#N)ccc4c3):n(C)c2cc1OC,0.7630375343176833,0.707132545519592,0.4215624116412139,3.437614273366499,single,Cyano
b_v2_single_b_14_A_cyanide_C,COc1cc2c:C(c3ccc4ccc(C#N)cc4c3):n(C)c2cc1OC,0.7790854041928159,0.706907155921045,0.4263092491870563,3.4931254988685003,single,Cyano
b_v2_single_b_14_A_cyanide_D,COc1cc2c:C(c3cccc4cc(C#N)ccc34):n(C)c2cc1OC,0.4689358621018393,0.6447963207293844,0.15404155453604088,3.5162551761610006,single,Cyano
b_v2_single_b_14_A_cyanide_G,COc1cc2c:C(c3cccc4ccc(C#N)cc34):n(C)c2cc1OC,0.4973181859022685,0.524513981194313,0.16190879229882785,3.462376633762,single,Cyano
b_v2_single_b_14_A_sulf_acid_A,COc1cc2c:C(c3ccc4ccc(S(=O)(=O)O)cc4c3):n(C)c2cc1OC,0.7534614989837578,0.7071742372601517,0.4095810744095734,3.538568511902,single,Sulfonic acid
b_v2_single_b_14_A_sulf_acid_B,COc1cc2c:C(c3cc(S(=O)(=O)O)cc4ccccc34):n(C)c2cc1OC,0.4866194053259349,0.610730914400804,0.2028010368221531,3.4874111080080006,single,Sulfonic acid
