Name,SMILES,SYBA,Functional Group,Linker
g_17_v1_double,COC1=CC2=C(C(/C=C/C3=C4N=CC=NC4=CS3)=C1OC)NC=C2,33.91139268894064,double,none
g_17_v1_triple,COC1=CC2=C(C(/C#C/C3=C4N=CC=NC4=CS3)=C1OC)NC=C2,36.432251953687725,triple,none
g_17_v1_imine,COC1=CC2=C(C(/C=N/C3=C4N=CC=NC4=CS3)=C1OC)NC=C2,35.85125012699881,imine,none
g_17_v1_thio,COC1=CC2=C(C(C3=CC=C(C4=C5N=CC=NC5=CS4)S3)=C1OC)NC=C2,22.46067773769609,thio,none
g_17_v2_double,COC1=CC2=C(C=C1OC)NC(/C=C/C3=C4N=CC=NC4=CS3)=C2,46.72055393299502,double,none
g_17_v2_triple,COC1=CC2=C(C=C1OC)NC(/C#C/C3=C4N=CC=NC4=CS3)=C2,50.45561471905336,triple,none
g_17_v2_imine,COC1=CC2=C(C=C1OC)NC(/C=N/C3=C4N=CC=NC4=CS3)=C2,49.45665479952343,imine,none
g_17_v2_thio,COC1=CC2=C(C=C1OC)NC(C3=CC=C(C4=C5N=CC=NC5=CS4)S3)=C2,50.902503682196176,thio,none
g_18_v1_double,COC1=CC2=C(C(/C=C/C3=NC=CC4=NSN=C34)=C1OC)NC=C2,34.93864228329526,double,none
g_18_v1_triple,COC1=CC2=C(C(/C#C/C3=NC=CC4=NSN=C34)=C1OC)NC=C2,43.12835262640283,triple,none
g_18_v1_imine,COC1=CC2=C(C(/C=N/C3=NC=CC4=NSN=C34)=C1OC)NC=C2,37.580066860059766,imine,none
g_18_v1_thio,COC1=CC2=C(C(C3=CC=C(C4=NC=CC5=NSN=C45)S3)=C1OC)NC=C2,26.611046492643148,thio,none
g_18_v2_double,COC1=CC2=C(C=C1OC)NC(/C=C/C3=NC=CC4=NSN=C34)=C2,51.11640759006716,double,none
g_18_v2_triple,COC1=CC2=C(C=C1OC)NC(/C#C/C3=NC=CC4=NSN=C34)=C2,59.82717083166028,triple,none
g_18_v2_imine,COC1=CC2=C(C=C1OC)NC(/C=N/C3=NC=CC4=NSN=C34)=C2,53.86092697247623,imine,none
g_18_v2_thio,COC1=CC2=C(C=C1OC)NC(C3=CC=C(C4=NC=CC5=NSN=C45)S3)=C2,54.35972381431755,thio,none
g_18_v3_double,COC1=CC2=C(C(/C=C/C3=CN=CC4=NSN=C34)=C1OC)NC=C2,35.981448171109726,double,none
g_18_v3_triple,COC1=CC2=C(C(/C#C/C3=CN=CC4=NSN=C34)=C1OC)NC=C2,39.3069552404172,triple,none
g_18_v3_imine,COC1=CC2=C(C(/C=N/C3=CN=CC4=NSN=C34)=C1OC)NC=C2,36.12528030080695,imine,none
g_18_v3_thio,COC1=CC2=C(C(C3=CC=C(C4=CN=CC5=NSN=C45)S3)=C1OC)NC=C2,17.32836194129766,thio,none
g_18_v4_double,COC1=CC2=C(C=C1OC)NC(/C=C/C3=CN=CC4=NSN=C34)=C2,48.79060941516413,double,none
